19.835,19.415,19.466,19.03,19.139,19.105,17.947,17.293,18.126,18.238,17.651,17.944,17.186,16.33,17.835,17.677,16.885,16.653
19.783,19.356,19.394,18.976,19.067,19.046,17.877,17.247,18.122,18.142,17.676,17.861,17.081,16.215,17.75,17.582,16.814,16.582
19.727,19.305,19.332,18.908,18.993,18.993,17.812,17.243,18.106,18.112,17.607,17.768,16.939,16.115,17.647,17.487,16.759,16.537
19.642,19.211,19.246,18.831,18.94,18.947,17.768,17.206,18.069,18.01,17.496,17.782,16.883,16.233,17.621,17.564,16.879,16.619
19.558,19.126,19.17,18.758,18.846,18.913,17.749,17.231,17.87,17.941,17.381,17.75,16.881,16.327,17.611,17.62,16.975,16.7
19.486,19.037,19.106,18.694,18.776,18.863,17.713,17.208,17.815,17.86,17.228,17.693,16.852,16.322,17.604,17.587,16.97,16.7
19.412,18.975,19.04,18.627,18.713,18.765,17.648,17.121,17.788,17.808,17.142,17.641,16.816,16.258,17.596,17.536,16.928,16.647
19.37,18.932,18.992,18.572,18.672,18.705,17.584,17.061,17.738,17.702,17.062,17.598,16.75,16.206,17.544,17.504,16.89,16.616
19.319,18.881,18.944,18.522,18.614,18.649,17.531,17.022,17.677,17.642,16.985,17.533,16.677,16.151,17.476,17.453,16.854,16.578
19.27,18.834,18.902,18.474,18.57,18.611,17.477,16.943,17.621,17.567,16.901,17.505,16.637,16.081,17.453,17.425,16.816,16.546
19.212,18.769,18.841,18.428,18.516,18.561,17.412,16.881,17.553,17.516,16.8,17.476,16.6,16.077,17.433,17.403,16.774,16.505
19.162,18.723,18.8,18.384,18.487,18.522,17.347,16.819,17.487,17.391,16.695,17.424,16.573,16.045,17.384,17.354,16.742,16.48
19.112,18.67,18.741,18.332,18.415,18.47,17.288,16.752,17.461,17.308,16.615,17.376,16.515,15.974,17.356,17.321,16.711,16.44
19.042,18.615,18.684,18.276,18.373,18.422,17.243,16.679,17.386,17.221,16.537,17.32,16.459,15.907,17.29,17.288,16.659,16.39
