0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33902,0.3513,0.36261,0.2985,0.33899,0.38626,0.32036,0.29335,0.35781,0.38366,0.31243,0.34942,0.30602,0.30457,0.27053,0.37416,0.31459,0.33589,0.29219
0.33462,0.34653,0.35154,0.29265,0.3324,0.3784,0.31326,0.29045,0.35258,0.37426,0.30538,0.34244,0.29409,0.29609,0.26068,0.36633,0.30449,0.3277,0.28857
0.3276,0.33678,0.34207,0.28699,0.32384,0.37091,0.3063,0.28539,0.34448,0.36481,0.29682,0.33015,0.28356,0.28452,0.25232,0.35397,0.29289,0.31672,0.27725
0.31935,0.33099,0.33232,0.28185,0.31523,0.36178,0.29902,0.27817,0.33207,0.35684,0.28595,0.31946,0.27459,0.27574,0.24162,0.34133,0.28389,0.31121,0.27059
0.31227,0.32229,0.32506,0.27566,0.30797,0.35727,0.29151,0.27074,0.32516,0.35065,0.27819,0.31344,0.26622,0.26894,0.22886,0.32963,0.27651,0.3061,0.2632
0.3062,0.31678,0.31692,0.26981,0.30318,0.35287,0.28582,0.26632,0.3189,0.33812,0.26983,0.30499,0.25843,0.26053,0.21632,0.31968,0.26924,0.29825,0.25782
0.30039,0.31262,0.31285,0.26803,0.29914,0.34622,0.28346,0.26481,0.31482,0.33283,0.26456,0.29686,0.25249,0.25421,0.21327,0.31235,0.26463,0.29247,0.25557
0.29449,0.30732,0.30616,0.26396,0.29522,0.34326,0.28058,0.25939,0.31184,0.33178,0.26111,0.29359,0.2472,0.24967,0.20839,0.30656,0.259,0.28782,0.24857
0.29003,0.3039,0.30309,0.26064,0.29036,0.33758,0.27626,0.25455,0.30815,0.32766,0.25721,0.28696,0.24281,0.24404,0.20883,0.30161,0.25564,0.2845,0.24727
0.2846,0.29867,0.29905,0.25968,0.29005,0.33649,0.27519,0.25461,0.30451,0.32298,0.25609,0.28566,0.24262,0.24148,0.20663,0.29373,0.25096,0.27733,0.23916
0.28088,0.29458,0.29385,0.25654,0.28712,0.33311,0.2736,0.25165,0.30254,0.31659,0.25289,0.28272,0.23757,0.24058,0.2045,0.29277,0.24763,0.27314,0.23336
0.27676,0.29036,0.28621,0.25434,0.28535,0.33105,0.27172,0.25116,0.30116,0.31649,0.24969,0.28206,0.23543,0.23774,0.20465,0.28761,0.24566,0.26785,0.22956
0.2743,0.28947,0.28424,0.25359,0.28536,0.32968,0.27185,0.25139,0.29886,0.31441,0.24935,0.27948,0.23564,0.23558,0.20355,0.28429,0.24332,0.26566,0.22641
0.27101,0.28685,0.28033,0.25044,0.28511,0.32522,0.26928,0.24615,0.29544,0.31797,0.25028,0.28254,0.23627,0.23408,0.20276,0.28269,0.23987,0.26405,0.22475
