21.335,21.687,21.877,21.373,21.932,21.61,22.218,21.678,21.482,21.403,22.12,20.996,21.796,21.094,21.221,20.923,21.526
21.284,21.547,21.764,21.199,21.813,21.487,22.087,21.529,21.421,21.308,21.963,20.863,21.681,20.886,21.087,20.751,21.43
21.181,21.416,21.627,21.051,21.698,21.328,21.963,21.383,21.313,21.162,21.806,20.702,21.478,20.701,20.905,20.606,21.279
21.12,21.288,21.487,20.899,21.593,21.167,21.811,21.23,21.159,20.938,21.673,20.497,21.302,20.545,20.766,20.42,21.124
21.028,21.186,21.374,20.785,21.466,21.031,21.736,21.073,21.002,20.813,21.569,20.351,21.202,20.398,20.659,20.197,20.981
20.97,21.102,21.3,20.658,21.347,20.942,21.663,20.953,20.907,20.7,21.36,20.194,21.063,20.262,20.526,19.979,20.859
20.926,21.031,21.208,20.594,21.31,20.867,21.553,20.904,20.875,20.626,21.272,20.095,20.929,20.158,20.427,19.926,20.769
20.87,20.945,21.152,20.489,21.227,20.793,21.504,20.843,20.76,20.572,21.255,20.03,20.875,20.065,20.355,19.841,20.698
20.833,20.888,21.076,20.441,21.159,20.703,21.409,20.753,20.657,20.505,21.186,19.957,20.765,19.988,20.266,19.849,20.638
20.778,20.83,21.036,20.378,21.14,20.697,21.391,20.73,20.658,20.44,21.108,19.936,20.744,19.985,20.226,19.811,20.541
20.735,20.758,20.957,20.297,21.076,20.642,21.335,20.697,20.595,20.404,21.001,19.875,20.695,19.897,20.212,19.774,20.529
20.69,20.663,20.838,20.177,21.031,20.609,21.301,20.658,20.585,20.379,21,19.815,20.684,19.859,20.167,19.776,20.466
20.681,20.647,20.814,20.146,21.015,20.61,21.278,20.66,20.59,20.338,20.965,19.809,20.642,19.863,20.133,19.757,20.425
20.653,20.575,20.767,20.085,20.951,20.605,21.204,20.606,20.478,20.276,21.024,19.826,20.692,19.874,20.109,19.743,20.406
20.604,20.494,20.716,20.039,20.863,20.52,21.087,20.508,20.333,20.191,20.907,19.763,20.532,19.811,20.01,19.717,20.351
20.593,20.448,20.676,20.003,20.822,20.44,21.072,20.461,20.302,20.14,20.859,19.71,20.474,19.675,19.953,19.687,20.292
20.542,20.347,20.577,19.941,20.692,20.353,20.989,20.432,20.307,20.033,20.769,19.592,20.396,19.603,19.825,19.663,20.231
20.478,20.268,20.498,19.843,20.627,20.269,20.937,20.4,20.263,19.992,20.771,19.554,20.343,19.566,19.765,19.609,20.184
20.441,20.2,20.433,19.787,20.581,20.208,20.843,20.326,20.195,19.934,20.667,19.488,20.302,19.51,19.742,19.519,20.128
20.403,20.186,20.371,19.746,20.533,20.148,20.793,20.243,20.08,19.843,20.572,19.396,20.204,19.395,19.672,19.479,20.113
20.343,20.128,20.328,19.744,20.514,20.095,20.759,20.184,20.018,19.772,20.52,19.307,20.124,19.274,19.586,19.393,20.028
20.316,20.061,20.298,19.648,20.436,20.001,20.69,20.122,19.949,19.709,20.422,19.231,20.063,19.191,19.562,19.317,19.991
20.267,19.993,20.242,19.561,20.381,19.972,20.642,20.071,19.861,19.645,20.308,19.128,20.001,19.115,19.461,19.251,19.943
20.186,19.961,20.194,19.526,20.323,19.878,20.568,19.996,19.78,19.568,20.247,19.034,19.946,19.039,19.393,19.216,19.866
20.115,19.885,20.116,19.467,20.228,19.752,20.48,19.867,19.692,19.444,20.152,18.904,19.82,18.959,19.299,19.144,19.786
20.05,19.813,20.041,19.366,20.134,19.648,20.399,19.761,19.602,19.344,20.047,18.79,19.73,18.847,19.226,19.049,19.726
20.012,19.762,19.981,19.297,19.999,19.524,20.16,19.552,19.499,19.216,19.954,18.68,19.602,18.759,19.088,19.046,19.68
19.974,19.683,19.892,19.196,19.79,19.308,19.926,19.203,19.372,19.114,19.743,18.603,19.393,18.677,19.017,19.017,19.627
19.905,19.602,19.819,19.107,19.656,19.157,19.755,19.04,19.278,19.011,19.582,18.518,19.252,18.599,18.989,18.987,19.585
19.859,19.513,19.731,19.008,19.566,19.044,19.631,18.916,19.148,18.92,19.461,18.426,19.161,18.523,18.939,18.942,19.505
19.801,19.361,19.603,18.934,19.475,18.972,19.533,18.804,19.048,18.818,19.347,18.335,19.044,18.456,18.897,18.847,19.449
19.759,19.238,19.44,18.829,19.383,18.862,19.443,18.72,18.972,18.732,19.244,18.238,18.962,18.412,18.827,18.796,19.436
19.751,19.102,19.293,18.746,19.312,18.761,19.348,18.634,18.884,18.639,19.142,18.157,18.87,18.376,18.782,18.806,19.395
19.696,18.997,19.204,18.648,19.188,18.683,19.249,18.531,18.765,18.545,19.054,18.046,18.79,18.337,18.71,18.734,19.316
19.658,18.903,19.099,18.567,19.09,18.563,19.161,18.431,18.675,18.433,18.955,17.94,18.734,18.271,18.68,18.708,19.288
19.574,18.797,18.986,18.467,19.002,18.474,19.063,18.311,18.582,18.339,18.898,17.827,18.622,18.191,18.607,18.597,19.202
19.548,18.724,18.924,18.359,18.904,18.357,18.95,18.148,18.448,18.222,18.717,17.719,18.531,18.148,18.562,18.514,19.15
19.532,18.65,18.851,18.308,18.842,18.279,18.886,18.124,18.374,18.135,18.646,17.741,18.495,18.161,18.545,18.512,19.115
19.476,18.603,18.749,18.253,18.756,18.223,18.821,18.074,18.327,18.084,18.603,17.678,18.432,18.122,18.488,18.497,19.073
19.429,18.529,18.692,18.178,18.7,18.158,18.758,18.011,18.244,18.029,18.535,17.671,18.386,18.092,18.457,18.44,19.022
19.362,18.439,18.618,18.092,18.625,18.111,18.693,17.936,18.153,17.941,18.42,17.526,18.31,17.967,18.391,18.285,18.956
