0.07222,0.42478,0.60188,0.91420,0.05322,0.47207,0.71561,0.94144,0.04980,0.16036,0.77684,0.93736,0.04150,0.74624,0.80867,0.92745,0.40958,0.13185,0.74496,0.93877,0.03862,0.33836,0.64748,0.91050,0.04833,0.30154,0.58524,0.91072,0.42742,0.35199,0.72288,0.93430,0.23922,0.36235,0.65948,0.91042,0.34659,0.47054,0.61743,0.84173,0.04274,0.42285,0.67169,0.87574,0.04335,0.38287,0.76861,0.87854
0.10990,0.43280,0.19839,0.97112,0.10203,0.43616,0.39413,1.00000,0.05731,0.24826,0.25878,1.00000,0.05515,0.76501,0.23866,1.00000,0.49227,0.20053,0.15915,1.00000,0.05611,0.33650,0.23768,1.00000,0.06021,0.38165,0.22233,1.00000,0.64819,0.32109,0.46035,1.00000,0.36153,0.37180,0.26363,0.94000,0.61452,0.40011,0.33848,0.93581,0.07493,0.32763,0.55883,0.96850,0.06799,0.33038,0.55083,0.96921
0.06019,0.61255,0.06523,0.91420,0.05941,0.60566,0.21484,0.94144,0.02791,0.50690,0.03263,0.90645,0.02982,0.85299,0.09317,0.92745,0.24652,0.41285,0.04060,0.90856,0.03180,0.56159,0.11650,0.94004,0.03164,0.60900,0.09671,0.91072,0.34577,0.58189,0.29262,0.93430,0.17888,0.61108,0.06571,0.88113,0.28608,0.66143,0.02416,0.87279,0.03118,0.63725,0.00224,0.84539,0.02927,0.63231,0.02425,0.87854
0.05261,0.62200,0.06254,0.88610,0.05212,0.61981,0.20247,0.94144,0.02448,0.51539,0.03263,0.90645,0.02617,0.85888,0.09317,0.90370,0.22025,0.43461,0.04060,0.87864,0.02749,0.59442,0.11650,0.91050,0.02746,0.63293,0.09671,0.88147,0.30544,0.60497,0.29262,0.90188,0.15733,0.62794,0.06571,0.85207,0.25065,0.68207,0.02416,0.84173,0.02742,0.65870,0.00224,0.84539,0.02538,0.65349,0.02425,0.84887
0.05060,0.63145,0.06254,0.88610,0.05035,0.62157,0.20247,0.94144,0.02393,0.52387,0.03263,0.87584,0.02542,0.86214,0.08919,0.90370,0.21020,0.43732,0.04060,0.90856,0.02740,0.58349,0.11650,0.91050,0.02718,0.63143,0.09671,0.88147,0.30343,0.60497,0.29262,0.90188,0.15302,0.64172,0.06571,0.85207,0.23941,0.69237,0.02416,0.84173,0.02623,0.66941,0.00224,0.84539,0.02446,0.65771,0.02425,0.84887
0.04191,0.63617,0.06254,0.88610,0.04152,0.62865,0.20247,0.91255,0.02012,0.53093,0.03263,0.87584,0.02075,0.86802,0.08919,0.90370,0.17233,0.46036,0.04060,0.84896,0.02254,0.60898,0.11650,0.88119,0.02180,0.66126,0.09671,0.85250,0.25101,0.62446,0.29262,0.90188,0.12446,0.66768,0.06252,0.85207,0.19620,0.71293,0.02416,0.81091,0.02155,0.68721,0.00224,0.81530,0.01936,0.68304,0.02425,0.84887
0.02965,0.66755,0.06254,0.85828,0.02937,0.65158,0.20247,0.88392,0.01419,0.56896,0.03263,0.84548,0.01533,0.88038,0.08919,0.88017,0.12442,0.49008,0.03861,0.84896,0.01721,0.64892,0.11209,0.85217,0.01651,0.69395,0.09272,0.82379,0.18448,0.67567,0.27803,0.86978,0.08944,0.70876,0.06252,0.82329,0.14520,0.74367,0.02416,0.78038,0.01504,0.73329,0.00224,0.78547,0.01288,0.73207,0.02425,0.79030
0.01471,0.73781,0.06254,0.85828,0.01369,0.74809,0.20247,0.88392,0.00696,0.64868,0.03064,0.81541,0.00851,0.91660,0.08919,0.88017,0.06723,0.55989,0.03861,0.81956,0.00963,0.73554,0.11209,0.82339,0.00946,0.77221,0.09272,0.82379,0.11190,0.76689,0.27803,0.83794,0.04957,0.79037,0.06252,0.76649,0.07952,0.81998,0.02416,0.75011,0.00743,0.81639,0.00224,0.78547,0.00565,0.81822,0.02425,0.79030
0.01449,0.73781,0.06254,0.85828,0.01413,0.73761,0.20247,0.88392,0.00696,0.64868,0.03064,0.81541,0.00841,0.91596,0.08919,0.88017,0.06646,0.56390,0.03861,0.81956,0.00963,0.73734,0.11209,0.82339,0.00835,0.78690,0.09272,0.82379,0.10786,0.77387,0.27803,0.83794,0.04634,0.79489,0.06252,0.79476,0.07519,0.82378,0.02416,0.78038,0.00706,0.82337,0.00224,0.75590,0.00556,0.82237,0.02425,0.79030
0.01293,0.74558,0.06254,0.85828,0.01325,0.74634,0.20247,0.88392,0.00658,0.65008,0.03064,0.81541,0.00804,0.91531,0.08919,0.85683,0.06337,0.56390,0.03861,0.81956,0.00973,0.73914,0.11209,0.82339,0.00816,0.78984,0.09272,0.82379,0.10585,0.77736,0.27803,0.83794,0.04418,0.79940,0.06252,0.79476,0.07001,0.83010,0.02416,0.78038,0.00651,0.82918,0.00224,0.75590,0.00509,0.82927,0.02425,0.79030
