0,1,2,3,4,5,,,,,,,,,,,,
16,3,77,77,77,"(57362, 4)",,,,,,,,,,,,
16,4,73,75,76,"(20123, 8)",,,,,,,,,,,,
16,5,53,60,64,"(613, 12)",,,,,,,,,,,,
16,6,71,72,73,"(22693, 12)",,,,,,,,,,,,
16,7,59,60,60,"(10279, 16)",,,,,,,,,,,,
16,8,52,58,65,"(3254, 20)",,,,,,,,,,,,
16,9,48,50,51,"(7265, 20)",,,,,,,,,,,,
16,10,69,71,73,"(38403, 12)",,,,,,,,,,,,
16,11,58,62,62,"(10423, 11)",,,,,,,,,,,,
16,12,72,72,73,"(37035, 8)",,,,,,,,,,,,
16,13,49,50,51,"(4140, 24)",,,,,,,,,,,,
16,14,60,65,66,"(4106, 12)",,,,,,,,,,,,
16,15,63,64,65,"(13399, 16)",,,,,,,,,,,,
17,1,61,62,63,"(6840, 20)",,48,48,50,,83,84,86,,64.1875,66.25,67.8125
17,3,68,70,70,"(37035, 8)",,,,,,,,,,,,
17,4,66,66,66,"(20191, 8)",,,,,,,,,,,,
17,5,77,77,77,"(46441, 3)",,,,,,,,,,,,
17,6,48,48,50,"(2707, 20)",,,,,,,,,,,,
17,7,66,66,66,"(41540, 8)",,,,,,,,,,,,
17,8,49,50,52,"(7265, 20)",,,,,,,,,,,,
17,9,62,66,68,"(10236, 20)",,,,,,,,,,,,
17,10,53,61,67,"(2232, 16)",,,,,,,,,,,,
17,11,78,79,79,"(15261, 12)",,,,,,,,,,,,
17,12,66,68,72,"(5928, 12)",,,,,,,,,,,,
17,13,70,71,71,"(64391, 4)",,,,,,,,,,,,
17,14,64,67,67,"(36379, 16)",,,,,,,,,,,,
17,15,62,65,67,"(15478, 12)",,,,,,,,,,,,
17,16,83,84,86,"(27441, 8)",,,,,,,,,,,,
17,17,54,60,64,"(545, 12)",,,,,,,,,,,,
18,1,66,67,67,"(35654, 8)",,40,41,42,,80,82,82,,63.58823529,65.82352941,67.11764706
18,2,40,41,42,"(3225, 24)",,,,,,,,,,,,
18,3,66,68,69,"(5412, 20)",,,,,,,,,,,,
18,4,64,68,69,"(14057, 11)",,,,,,,,,,,,
18,5,72,75,76,"(20123, 8)",,,,,,,,,,,,
18,6,68,68,68,"(35384, 4)",,,,,,,,,,,,
18,8,64,65,67,"(10786, 16)",,,,,,,,,,,,
18,9,78,78,78,"(28835, 4)",,,,,,,,,,,,
18,10,63,67,69,"(8622, 12)",,,,,,,,,,,,
18,11,69,69,69,"(58525, 4)",,,,,,,,,,,,
18,12,59,59,60,"(12768, 8)",,,,,,,,,,,,
18,13,70,73,76,"(20312, 20)",,,,,,,,,,,,
18,14,47,48,50,"(5963, 12)",,,,,,,,,,,,
18,15,63,68,70,"(5490, 16)",,,,,,,,,,,,
