,,,,,,,min,min,min,,max,max ,max,,avg,avg,avg,,,,,,,,,,,,,
14,1,35,40,44,"(112104, 27)",,16,23,39,,52,54,60,,33.69230769,41.07692308,49.38461538,,,,,,,,,,,,,
14,2,44,49,53,"(11706, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
14,3,22,23,45,"(26656, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
14,4,46,46,51,"(15261, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
14,5,43,49,51,"(37396, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
14,7,16,34,55,"(9645, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
14,8,27,33,39,"(1241, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
14,9,37,43,45,"(4182, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
14,10,23,32,40,"(9947, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
14,11,23,42,55,"(841, 24)",,,,,,,,,,,,,,,,,,,,,,,,,
14,12,52,54,59,"(35101, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
14,13,27,45,60,"(13577, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
14,14,43,44,45,"(2707, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
15,1,33,40,47,"(10488, 12)",,15,29,34,,43,50,54,,28.78571429,39.21428571,44.85714286,,,,,,,,,,,,,
15,3,20,34,39,"(20123, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
15,4,26,34,34,"(6365, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
15,5,43,50,54,"(3712, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
15,6,21,42,48,"(29613, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
15,7,42,44,44,"(35101, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
15,8,27,37,46,"(5920, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
15,9,35,40,44,"(25098, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
15,10,38,42,43,"(5692, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
15,11,15,29,44,"(18556, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
15,12,21,34,43,"(268, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
15,13,39,47,50,"(15261, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
