18.273,16.527,16.036,16.107,17.061,16.865,17.507,17.342,18.12,17.433,18.41,17.819,17.597
18.236,16.449,15.956,16.049,16.971,16.793,17.449,17.286,18.038,17.373,18.348,17.766,17.629
18.188,16.331,15.86,16.025,16.929,16.75,17.387,17.246,18.001,17.332,18.308,17.711,17.558
18.159,16.386,15.883,16.078,16.903,16.742,17.378,17.212,17.943,17.29,18.266,17.686,17.624
18.142,16.398,15.918,16.067,16.901,16.723,17.363,17.199,17.934,17.293,18.254,17.666,17.573
18.101,16.292,15.822,15.987,16.832,16.655,17.334,17.15,17.886,17.248,18.207,17.629,17.515
18.04,16.179,15.678,15.912,16.789,16.628,17.263,17.124,17.848,17.202,18.17,17.581,17.419
18.02,16.119,15.605,15.891,16.736,16.583,17.243,17.055,17.797,17.163,18.124,17.546,17.37
17.985,16.127,15.622,15.827,16.696,16.502,17.179,17.037,17.738,17.117,18.097,17.513,17.364
17.946,16.033,15.51,15.799,16.629,16.474,17.163,16.981,17.714,17.098,18.058,17.464,17.26
17.908,15.972,15.447,15.745,16.603,16.439,17.114,16.964,17.689,17.041,18.014,17.43,17.281
17.873,15.92,15.381,15.705,16.549,16.394,17.086,16.908,17.634,17.019,17.975,17.383,17.173
17.841,15.858,15.278,15.686,16.51,16.378,17.035,16.883,17.587,16.968,17.925,17.363,17.195
17.817,15.842,15.276,15.688,16.468,16.35,17.012,16.847,17.571,16.958,17.902,17.318,17.126
17.781,15.797,15.235,15.638,16.445,16.304,16.969,16.816,17.538,16.901,17.871,17.292,17.158
17.751,15.695,15.21,15.584,16.424,16.284,16.951,16.782,17.503,16.883,17.85,17.261,17.118
17.704,15.605,15.118,15.505,16.351,16.207,16.889,16.735,17.437,16.826,17.786,17.206,17.056
17.666,15.554,15.118,15.473,16.316,16.189,16.861,16.705,17.416,16.796,17.752,17.175,17.002
17.616,15.437,15.118,15.365,16.229,16.092,16.785,16.621,17.375,16.739,17.688,17.099,16.878
17.564,15.353,15.103,15.323,16.199,16.039,16.746,16.585,17.32,16.683,17.645,17.047,16.886
17.531,15.305,15,15.235,16.126,16,16.68,16.53,17.223,16.647,17.575,17.001,16.76
17.503,15.242,14.938,15.236,16.076,15.971,16.656,16.514,17.232,16.613,17.549,16.978,16.801
17.492,15.282,15.057,15.311,16.087,16.007,16.663,16.518,17.212,16.629,17.57,16.969,16.781
