2.1162,2.0213,2.4706,1.8409,2.4722,2.5817,1.8522,2.2079,3.3108,1.3788
2.1937,2.3908,2.29,1.7051,1.7933,2.2715,2.0268,2.2791,2.2192,1.1759
2.1676,2.0672,2.343,1.3062,2.1443,2.9475,1.9528,1.9242,3.1053,1.356
3.0479,3.2253,2.5622,1.3298,2.0129,2.3582,2.1081,2.0247,2.0355,0.81426
2.0194,2.2731,1.9683,1.2908,2.2101,2.2043,1.9761,2.5748,3.3761,0.97564
2.2219,2.2036,2.0117,1.4149,2.3185,2.3401,2.0241,2.322,3.5471,1.1103
2.3478,2.6108,1.9249,1.5856,2.3176,2.4122,2.244,2.0622,2.6388,1.1891
2.088,2.2051,2.172,1.5158,1.9965,2.236,1.8307,2.0999,2.9685,0.8679
2.4991,2.0184,2.2231,1.4952,2.12,2.0961,1.9778,1.7982,2.7566,1.2004
2.3128,1.6792,2.2559,1.2561,2.3131,2.2966,2.0055,2.4651,3.2487,1.2426
1.8329,2.5144,1.8364,1.4663,1.5305,2.2957,1.9031,2.3431,2.5311,1.1982
1.994,1.9114,1.8242,1.5577,2.1025,2.4391,2.1078,2.272,2.3874,1.5367
2.4907,3.0422,1.9431,1.4493,2.2776,2.3382,1.9607,2.1974,2.4399,1.1001
2.4111,1.8493,2.0832,1.6119,1.8658,1.9374,1.9128,2.5133,3.1384,1.1325
2.5548,2.5648,2.282,1.9437,2.0178,2.285,1.9654,1.9734,2.2853,1.3214
2.501,1.9094,2.4519,1.5077,2.3474,2.2034,2.0844,2.3892,2.343,1.6084
2.2535,1.9897,2.2668,1.4403,1.9961,2.8209,1.9613,2.3488,2.8208,1.301
2.4527,2.1529,2.1229,1.7056,2.1235,1.9391,1.9584,2.2299,2.4785,1.536
2.2882,1.9333,1.9449,1.9307,2.4935,1.9986,1.9171,2.3905,2.4788,1.1779
2.2331,2.3151,2.7634,1.6766,1.9283,2.6107,1.9161,2.4734,2.4965,1.2423
2.0083,1.8422,2.0283,1.5736,2.1283,2.1136,2.0143,2.2037,3.0655,1.8975
2.7,2.06,2.2659,1.3315,2.27,2.2138,2.062,1.9757,2.3756,1.1422
2.1616,1.8569,2.2602,1.7704,2.2905,2.2257,1.9356,2.2899,2.7674,1.0177
2.4578,2.3632,1.9988,1.6132,1.9725,2.3185,2.012,2.102,3.1502,1.1208
2.0239,1.8622,2.5525,1.3452,2.5023,2.5223,1.99,2.1245,2.5042,1.3359
2.1548,2.1294,2.5962,1.507,2.7237,2.949,1.9111,2.4831,2.6863,1.2102
2.0783,1.7174,2.1046,1.7268,2.6958,2.3198,1.9765,2.3516,2.9236,1.2463
2.2694,2.6696,2.1142,1.4787,1.9987,2.6771,1.9649,2.5854,2.6029,1.2113
2.0216,2.9178,2.2893,1.6912,2.3453,2.7945,2.124,2.3215,2.506,1.5502
2.1682,2.0881,2.1865,1.8446,1.9048,2.9424,2.0364,2.3551,2.8257,1.2409
2.2968,3.534,2.1487,1.6555,1.9086,2.4552,2.0987,1.987,2.8415,1.3678
2.3569,2.5858,2.1233,1.5992,1.9039,2.652,2.1013,2.3535,2.9592,1.1678
2.5007,3.5346,2.5093,1.8747,2.1287,2.2354,2.3093,2.5187,2.5993,1.4081
2.6464,2.1873,2.2999,1.6499,2.3005,2.4959,2.0795,2.1818,2.9282,1.1503
2.3866,1.9888,2.132,1.8276,1.9318,2.2646,2.2997,2.2983,2.6043,1.2066
2.3257,3.4055,2.4046,1.4897,2.0803,2.4672,2.1577,2.1423,2.8513,1.2452
2.3859,1.7667,2.5824,1.5931,2.3292,2.1725,2.0918,2.486,3.0625,1.3254
2.2994,2.7729,2.0863,1.8234,3.0472,2.442,2.1956,2.2963,3.3143,1.2627
2.2345,2.6686,2.2789,1.744,2.4115,2.4451,2.0775,2.728,2.0992,1.0457
2.3724,1.6097,2.2649,1.7105,2.111,2.3222,2.0622,2.4945,2.9232,1.4066
2.3335,2.3327,2.3353,1.6439,2.019,2.9011,1.9191,2.2935,2.538,1.2523
1.8005,2.3464,2.1806,1.7619,2.2685,2.7358,2.2137,2.1647,3.2372,1.2315
2.6691,2.0184,2.3962,1.8496,2.3361,2.5552,2.2123,2.3177,2.8416,1.3787
2.4503,2.8017,2.1886,1.9384,2.0807,2.3305,2.0703,2.2674,3.1075,1.2291
2.0447,2.333,2.4028,1.6547,1.8772,2.5916,2.1621,2.4523,2.6205,1.3069
2.272,2.2178,2.76,1.848,2.4113,2.4364,2.1564,2.1457,3.1077,1.2997
2.1873,2.8212,2.5848,1.8966,2.9064,2.2669,2.0882,2.2358,2.3977,1.3099
2.1817,2.7204,2.2893,2.0328,2.1767,2.6923,2.2435,2.5727,3.1356,1.3239
2.5662,2.2587,2.1992,1.6769,2.5891,2.8078,2.0348,2.4788,2.936,1.3723
2.5624,2.7067,2.276,1.7403,2.4187,2.6151,2.1564,2.356,2.999,1.33
2.316,2.8991,2.333,1.7084,2.2149,2.6547,2.1746,2.4313,3.1061,1.7007
2.1871,3.1093,2.6067,1.8859,2.1357,2.9056,1.8871,2.3907,3.1199,1.3732
2.1946,3.2127,2.4622,1.628,2.8687,2.5378,2.2779,2.2479,3.4162,1.4174
2.3699,2.1688,2.3751,1.9175,2.3828,2.6869,2.1684,2.5987,3.0543,1.4294
2.2669,2.0859,2.2799,1.7544,2.2884,2.4345,2.1898,2.3667,3.2311,1.5721
2.2407,2.3424,2.3571,2.0281,2.2512,3.0775,2.2188,2.4106,2.87,1.4258
2.4899,3.1078,2.3457,1.918,1.9338,2.3441,2.0623,2.4225,2.9941,1.4708
2.7369,2.6853,2.2877,1.8225,2.2446,2.9307,2.3557,2.6445,2.7523,1.5955
2.9152,3.2728,2.39,1.9337,2.4906,2.5779,2.3517,2.6599,3.1652,1.6362
2.472,2.4188,2.5845,2.5307,2.3997,2.3771,2.1976,2.4548,3.2123,1.5428
2.4677,2.5129,2.8988,1.9079,2.4414,2.4214,2.2323,2.4976,3.4675,1.4811
2.5612,2.5421,2.3104,2.0597,2.4351,2.7557,2.2588,2.6215,3.2494,1.5438
2.2695,2.4673,2.3819,2.0273,2.5348,2.4214,2.0022,3.1456,3.2935,1.6053
2.6577,2.8821,2.5772,2.0583,2.4484,2.9395,2.352,2.4506,3.3779,1.8436
2.5739,2.7335,2.5922,2.0409,1.9973,2.8245,2.3687,2.7425,3.3062,2.0311
2.8361,2.9214,2.4704,2.033,2.5501,2.5033,2.3287,2.5065,3.4668,1.6865
2.6964,2.6384,2.4795,2.1011,2.4214,2.859,2.4827,2.7371,4.0527,1.9898
2.7327,3.5548,2.8256,2.1322,3.178,2.7825,2.3835,2.6528,3.7032,1.7239
2.5662,3.1116,3.0745,2.3468,2.6827,3.4079,2.3042,2.6615,3.3682,1.9605
2.2923,2.988,2.5971,2.437,2.5316,2.8728,2.0845,2.6541,3.6673,1.7428
3.0127,2.7888,2.7749,2.3316,2.4866,2.6356,2.9426,2.7156,3.4351,1.8498
2.9527,3.1709,2.4407,2.2574,2.3996,2.7327,2.1652,2.8363,3.8984,1.963
2.6383,3.0009,2.658,2.2203,2.8911,3.1339,2.4787,2.7235,4.613,1.9256
2.6667,3.574,2.907,2.3355,2.6477,3.2585,2.7686,2.9667,3.5849,2.0776
2.8636,3.4909,2.8138,2.2522,2.4783,2.8839,2.4297,2.9862,3.7516,1.8566
2.7929,3.8312,2.6286,2.209,2.7015,3.0876,2.7212,2.8124,4.2693,2.1172
2.913,3.5746,2.908,2.4931,2.5979,4.1391,2.3804,3.0011,3.9092,2.067
2.5223,3.2731,2.885,2.5896,2.8638,3.2187,2.5266,2.7855,4.4211,2.1159
