3.3262,3.3381,3.3309,3.34,3.3254,3.3107,3.3149,3.3182,3.3304,3.33,3.331,3.3294,3.3316,3.3343,3.3339,3.3323,3.3361,3.3377,3.3395,3.3404,3.3403,3.3409,3.3398,3.3398,3.3394,3.3397,3.3397,3.3397,3.34,3.3413,3.3412,3.3402,3.3405,3.3419,3.3424,3.3422,3.3413,3.3417,3.3429,3.3428,3.3432,3.3437,3.3444,3.3444,3.344,3.3438,3.3431,3.3442,3.3442
3.3394,3.3516,3.3473,3.353,3.3353,3.3261,3.3294,3.3322,3.3431,3.3419,3.3434,3.341,3.3433,3.3458,3.346,3.3438,3.3458,3.3463,3.3462,3.3472,3.3466,3.347,3.3457,3.3451,3.3445,3.345,3.3449,3.3448,3.3449,3.3462,3.3459,3.3449,3.345,3.3462,3.3468,3.3464,3.3458,3.346,3.3472,3.3471,3.3475,3.3481,3.349,3.3488,3.3485,3.3487,3.3475,3.349,3.349
3.8045,3.8095,3.8134,3.8212,3.798,3.7895,3.7961,3.7975,3.7979,3.796,3.7972,3.7963,3.7978,3.7994,3.7991,3.7987,3.8006,3.7998,3.8004,3.8031,3.8027,3.8032,3.8022,3.802,3.8027,3.8026,3.8028,3.8039,3.8037,3.8048,3.8053,3.8053,3.8048,3.8058,3.8061,3.8058,3.8055,3.8054,3.8066,3.8065,3.8067,3.8075,3.8084,3.8091,3.8092,3.8092,3.8082,3.8091,3.8091
3.8827,3.8935,3.9015,3.9108,3.8961,3.8863,3.8873,3.8907,3.8938,3.8915,3.8932,3.8925,3.8948,3.8969,3.8968,3.8962,3.8984,3.8976,3.8991,3.9016,3.9011,3.9016,3.9007,3.9004,3.9015,3.9019,3.9022,3.9035,3.9034,3.9046,3.9053,3.9054,3.9051,3.9058,3.9063,3.906,3.9058,3.9058,3.907,3.9068,3.9071,3.9077,3.9087,3.9094,3.9094,3.9095,3.9088,3.9098,3.9098
4.2008,4.2091,4.2092,4.2164,4.2037,4.1979,4.2021,4.203,4.1976,4.1964,4.1968,4.1963,4.1969,4.1972,4.1966,4.1963,4.1992,4.1966,4.1994,4.2036,4.2037,4.2045,4.204,4.2036,4.2069,4.2081,4.2083,4.2096,4.2087,4.2095,4.2104,4.2098,4.21,4.2099,4.2103,4.21,4.2099,4.2101,4.2108,4.211,4.2112,4.2122,4.2132,4.214,4.2144,4.2143,4.214,4.2144,4.2144
4.2793,4.2839,4.2772,4.2819,4.2656,4.2588,4.2653,4.266,4.263,4.262,4.2625,4.2615,4.2621,4.2634,4.2627,4.2616,4.2633,4.2611,4.2642,4.2686,4.2679,4.2685,4.2679,4.2672,4.2702,4.2721,4.2723,4.2728,4.2719,4.2727,4.2736,4.2744,4.2745,4.275,4.2755,4.2752,4.2753,4.2751,4.276,4.2761,4.2764,4.2773,4.2783,4.2792,4.2797,4.2797,4.2794,4.28,4.28
4.3183,4.3247,4.3226,4.3236,4.3104,4.3058,4.308,4.3081,4.3049,4.3032,4.3035,4.3039,4.3047,4.306,4.3052,4.3043,4.3055,4.3033,4.305,4.3098,4.3097,4.3102,4.3098,4.3097,4.3117,4.3134,4.3138,4.3145,4.3139,4.3146,4.3158,4.3169,4.3171,4.3177,4.3181,4.318,4.3183,4.3183,4.3194,4.3195,4.3198,4.3207,4.3218,4.3229,4.3235,4.3236,4.3233,4.3238,4.3238
4.1386,4.1464,4.1446,4.146,4.1381,4.1302,4.134,4.1339,4.1338,4.1325,4.1331,4.1327,4.1337,4.135,4.1342,4.1336,4.1355,4.1337,4.1356,4.14,4.1397,4.1405,4.1401,4.1394,4.1422,4.1447,4.1453,4.1461,4.1452,4.1461,4.1474,4.148,4.1484,4.1488,4.1493,4.1491,4.1493,4.1493,4.15,4.1501,4.1504,4.1513,4.1524,4.1534,4.1541,4.1542,4.154,4.1545,4.1545
3.9121,3.9195,3.9158,3.923,3.9149,3.9092,3.9104,3.9112,3.9116,3.9106,3.9107,3.9106,3.9113,3.9124,3.9116,3.9104,3.9125,3.9108,3.9132,3.9165,3.9161,3.9164,3.9161,3.9162,3.9186,3.92,3.9203,3.9209,3.9202,3.9207,3.9213,3.9214,3.9218,3.9221,3.9226,3.9223,3.9227,3.9226,3.9232,3.9234,3.9237,3.9243,3.9252,3.9255,3.926,3.9261,3.9259,3.9264,3.9264
3.9671,3.9771,3.9739,3.9734,3.9646,3.9604,3.9615,3.9617,3.9633,3.9623,3.9624,3.9628,3.9637,3.965,3.9646,3.9636,3.9649,3.9642,3.9653,3.969,3.969,3.9694,3.969,3.9691,3.9702,3.9712,3.9715,3.9723,3.9718,3.9723,3.9732,3.9734,3.9732,3.9737,3.9739,3.9738,3.974,3.974,3.9746,3.9747,3.9749,3.9753,3.9761,3.9768,3.9771,3.9771,3.977,3.9772,3.9772
