Id;Expendedor;Latitud;Longitud;Azules;Laborales
40;ACTOR ISIDORO MAIQUEZ;37,9940085;-1,12521151;0;0
39;ACTOR ISIDORO MAIQUEZ;37,99384318;-1,125993126;7;0
38;CONDESTABLE;37,98889959;-1,134867741;0;0
37;VISTA ALEGRE;37,99452335;-1,125517717;0;0
36;CONDESTABLE;37,99037566;-1,135190941;0;0
35;VISTA ALEGRE;37,994152;-1,126953616;0;0
34;ABENARABI;37,9969952;-1,131572402;0;0
33;ABENARABI;37,99728201;-1,130203664;0;0
32;ABENARABI;37,99737635;-1,12866747;0;0
31;ABENARABI;37,9970448;-1,130231619;0;0
30;ABENARABI;37,99642312;-1,132992207;0;0
29;CEUTA;37,9877762;-1,123706913;0;0
27;ALFONSO X EL SABIO;37,98867029;-1,130003675;0;0
26;ALFONSO X EL SABIO;37,98847895;-1,129683857;0;0
25;MAESTRA NAL. MARIA MAROTO;37,99484824;-1,128421071;0;0
24;MARQUES DE LOS VELEZ;37,99291806;-1,128751553;0;0
23;PINTOR INOCENCIO MEDINA VERA;37,99530239;-1,126361519;1;0
22;PINTOR INOCENCIO MEDINA VERA;37,99566483;-1,127450002;0;0
21;PUERTA NUEVA (CINES);37,99011346;-1,127572278;0;0
20;PUERTA NUEVA;37,99128625;-1,128053634;0;0
19;MINISTRO DIEGO CLEMENCIN;37,99497955;-1,128735258;1;0
18;RONDA DE LEVANTE;37,99218475;-1,127544427;0;0
17;RONDA DE LEVANTE;37,99186179;-1,127476277;0;0
16;MAESTRA NAL. MARIA MAROTO;37,99555656;-1,128616905;0;0
15;TAPIA SANZ;37,98954489;-1,125635657;0;0
14;TAPIA SANZ;37,98972436;-1,126806289;0;0
13;GUTIERREZ MELLADO;37,98969518;-1,127794368;0;0
12;GUTIERREZ MELLADO;37,98985501;-1,128584444;0;0
11;GUTIERREZ MELLADO;37,98950395;-1,129307142;0;0
10;NUESTRA SEÑORA DE LOS BUENOS LIBROS;37,99567761;-1,131033199;9;0
9;PINTOR SOBEJANO;37,98253267;-1,139037951;0;0
8;ALFONSO X EL SABIO;37,99066594;-1,130110089;0;0
7;ALFONSO X EL SABIO;37,99071554;-1,13037929;0;0
6;ALFONSO X EL SABIO;37,99017427;-1,1302786;0;0
5;ALFONSO X EL SABIO;37,99010136;-1,129995796;0;0
4;MARQUES DE LOS VELEZ;37,99628773;-1,130802381;0;0
3;OLMA;37,98831506;-1,139090623;0;0
2;CRONISTA DIEGO RODRIGUEZ DE ALMELA;37,99668875;-1,127361569;6;0
1;CRONISTA DIEGO RODRIGUEZ DE ALMELA;37,99722997;-1,127862053;4;0
