0.33902,0.39218,0.3513,0.37037,0.30457,0.27053,0.37416,0.31459,0.33589,0.29219,0.34106
0.33462,0.3839,0.34653,0.36421,0.29609,0.26068,0.36633,0.30449,0.3277,0.28857,0.33248
0.3276,0.37385,0.33678,0.35559,0.28452,0.25232,0.35397,0.29289,0.31672,0.27725,0.32625
0.31935,0.36328,0.33099,0.34751,0.27574,0.24162,0.34133,0.28389,0.31121,0.27059,0.31854
0.31227,0.35462,0.32229,0.33863,0.26894,0.22886,0.32963,0.27651,0.3061,0.2632,0.31184
0.3062,0.34692,0.31678,0.33025,0.26053,0.21632,0.31968,0.26924,0.29825,0.25782,0.30707
0.30039,0.34017,0.31262,0.32417,0.25421,0.21327,0.31235,0.26463,0.29247,0.25557,0.30007
0.29449,0.33584,0.30732,0.31929,0.24967,0.20839,0.30656,0.259,0.28782,0.24857,0.29713
0.29003,0.33174,0.3039,0.31473,0.24404,0.20883,0.30161,0.25564,0.2845,0.24727,0.28948
0.2846,0.32628,0.29867,0.30995,0.24148,0.20663,0.29373,0.25096,0.27733,0.23916,0.28184
0.28088,0.32303,0.29458,0.30546,0.24058,0.2045,0.29277,0.24763,0.27314,0.23336,0.27749
0.27676,0.31943,0.29036,0.30184,0.23774,0.20465,0.28761,0.24566,0.26785,0.22956,0.27149
0.2743,0.315,0.28947,0.30004,0.23558,0.20355,0.28429,0.24332,0.26566,0.22641,0.27081
0.27101,0.31563,0.28685,0.2983,0.23408,0.20276,0.28269,0.23987,0.26405,0.22475,0.27025
0.2692,0.30939,0.28224,0.29358,0.22781,0.20126,0.27821,0.23584,0.25793,0.21685,0.26204
0.26561,0.30798,0.28115,0.29106,0.22416,0.19949,0.2734,0.23553,0.25766,0.21989,0.26251
0.26074,0.30029,0.27631,0.28618,0.21608,0.19814,0.2684,0.22962,0.25027,0.21053,0.25575
0.25581,0.2929,0.27025,0.28126,0.21229,0.19502,0.2646,0.22431,0.24707,0.20645,0.25336
0.25094,0.28898,0.26674,0.2764,0.2108,0.18987,0.26002,0.21925,0.24007,0.19993,0.24945
0.24932,0.28812,0.26323,0.27386,0.2064,0.18755,0.2588,0.21555,0.23802,0.19803,0.24856
0.24321,0.28189,0.25749,0.26803,0.20091,0.1826,0.2518,0.21083,0.23235,0.19135,0.24336
0.23888,0.27744,0.25493,0.26521,0.19942,0.17823,0.24882,0.20681,0.2272,0.18723,0.2396
0.23343,0.26933,0.25036,0.25894,0.19302,0.17447,0.24491,0.20314,0.22263,0.18368,0.23305
0.22796,0.26346,0.24263,0.2534,0.18871,0.17245,0.23859,0.19904,0.21633,0.1786,0.22727
0.22256,0.25845,0.23597,0.2491,0.18274,0.16829,0.23208,0.19451,0.21099,0.17576,0.22143
0.21803,0.25363,0.22983,0.24283,0.1781,0.16286,0.22715,0.1905,0.20541,0.17028,0.21555
0.21244,0.24474,0.22619,0.23722,0.16931,0.16268,0.22338,0.18548,0.20213,0.16496,0.21227
0.20817,0.24091,0.22259,0.23305,0.16486,0.161,0.2191,0.18193,0.19539,0.15847,0.20602
0.2052,0.23686,0.21607,0.22832,0.16309,0.15927,0.21568,0.1801,0.19326,0.15761,0.20179
0.19865,0.22492,0.2117,0.21916,0.15989,0.15673,0.20915,0.17616,0.18653,0.15302,0.19742
0.19661,0.22158,0.20623,0.21556,0.15722,0.15125,0.20458,0.17431,0.18349,0.1528,0.19507
0.1947,0.22188,0.20231,0.21593,0.15282,0.1483,0.20348,0.17126,0.18113,0.1481,0.19327
0.19078,0.21722,0.20153,0.21329,0.14995,0.14886,0.2001,0.16785,0.17897,0.14733,0.19226
0.18684,0.2131,0.19638,0.20585,0.14539,0.14475,0.19372,0.16507,0.17491,0.14322,0.18712
0.18171,0.2087,0.19278,0.20152,0.14346,0.14325,0.19137,0.16248,0.17148,0.13896,0.18153
0.1777,0.20242,0.18481,0.19761,0.13885,0.13686,0.18441,0.15877,0.16579,0.13578,0.17578
0.17409,0.196,0.18234,0.19259,0.13598,0.13213,0.18012,0.15489,0.16203,0.13282,0.17039
0.16992,0.19093,0.18085,0.18856,0.13491,0.13198,0.17723,0.1513,0.15925,0.12957,0.16908
0.1647,0.18901,0.17554,0.18492,0.13133,0.13114,0.17388,0.14888,0.15535,0.12691,0.16523
0.16145,0.18352,0.17109,0.17941,0.12934,0.12785,0.16968,0.14477,0.15235,0.12318,0.16194
0.15723,0.17691,0.16474,0.17362,0.12515,0.11893,0.1643,0.14168,0.14666,0.11946,0.15685
0.15165,0.1678,0.15648,0.16471,0.11819,0.11118,0.15672,0.13721,0.14137,0.11642,0.15076
0.1441,0.1634,0.1483,0.15587,0.11231,0.10634,0.1513,0.13064,0.13646,0.11116,0.14716
0.13871,0.15586,0.1419,0.14832,0.10699,0.10279,0.14616,0.12341,0.13206,0.10489,0.14345
0.13347,0.15037,0.13532,0.14063,0.10206,0.098126,0.14063,0.11981,0.12645,0.10097,0.13768
0.12687,0.14581,0.13164,0.1362,0.099982,0.09617,0.13518,0.11563,0.12209,0.097295,0.13345
0.12297,0.14023,0.12586,0.13079,0.096594,0.090453,0.12823,0.11123,0.11849,0.094047,0.12714
0.11832,0.13406,0.12278,0.12571,0.092434,0.088599,0.12569,0.10814,0.11436,0.090237,0.12358
0.11385,0.12945,0.11648,0.11967,0.089206,0.08575,0.12112,0.1048,0.11098,0.087892,0.11956
0.10993,0.12545,0.11222,0.11441,0.084848,0.080728,0.11521,0.10231,0.1064,0.084007,0.11616
