18.217,18.47,18.45,18.541,18.975,19.154,19.153,19.146
18.88,19.344,19.313,19.113,19.823,19.944,20.044,19.723
19.501,20.14,20.166,19.726,20.57,20.629,20.928,20.369
19.943,20.674,20.766,20.175,20.985,21.036,21.412,20.911
20.201,20.95,21.115,20.538,21.2,21.259,21.586,21.238
20.399,21.211,21.32,20.729,21.357,21.467,21.682,21.509
20.585,21.371,21.537,20.91,21.56,21.583,21.872,21.624
20.53,21.223,21.393,20.859,21.449,21.404,21.492,21.451
20.132,20.788,20.857,20.553,20.932,21.004,20.91,20.996
19.86,20.493,20.562,20.366,20.538,20.737,20.731,20.737
20.108,20.723,20.818,20.487,20.891,21.011,20.952,21.088
20.428,21.145,21.182,20.804,21.311,21.373,21.276,21.48
20.673,21.407,21.526,21.082,21.76,21.691,21.691,21.855
20.868,21.63,21.721,21.253,21.858,21.84,22.075,21.966
21,21.788,21.901,21.367,22.093,21.954,22.268,22.146
21.072,21.911,22.042,21.502,22.205,22.102,22.451,22.301
21.176,21.984,22.07,21.537,22.2,22.125,22.489,22.299
21.194,22.016,22.061,21.615,22.15,22.086,22.357,22.231
21.217,22.101,22.104,21.669,22.217,22.173,22.383,22.287
21.248,22.043,22.03,21.64,22.177,22.173,22.455,22.3
21.182,22.014,22.011,21.633,22.068,22.08,22.225,22.178
21.186,22.053,22.069,21.612,22.079,22.088,22.255,22.196
21.358,22.297,22.214,21.9,22.233,22.335,22.511,22.339
21.284,22.123,22.135,21.783,22.103,22.234,22.408,22.26
21.104,21.872,21.926,21.599,21.833,22.007,22.097,21.985
20.965,21.751,21.807,21.576,21.652,21.844,21.961,21.862
20.904,21.649,21.67,21.532,21.473,21.76,21.83,21.776
20.945,21.64,21.642,21.483,21.441,21.782,21.832,21.783
21.151,21.874,21.845,21.66,21.582,21.94,22.108,21.923
21.209,21.927,21.939,21.739,21.705,22.081,22.196,22.026
21.331,22.064,22.086,21.831,21.872,22.194,22.38,22.173
21.364,22.151,22.141,21.9,21.94,22.254,22.414,22.299
21.467,22.212,22.231,21.974,21.994,22.386,22.578,22.375
21.551,22.326,22.275,22.114,22.281,22.468,22.649,22.533
21.374,22.02,22.004,21.884,21.929,22.203,22.336,22.302
21.033,21.598,21.518,21.518,21.427,21.83,21.878,21.866
20.979,21.578,21.476,21.511,21.338,21.729,21.893,21.803
21.325,21.902,21.92,21.79,21.891,22.089,22.291,22.117
21.313,21.887,21.925,21.751,21.868,22.138,22.252,22.099
21.069,21.647,21.523,21.568,21.425,21.876,22.003,21.902
20.887,21.427,21.25,21.348,21.142,21.657,21.734,21.856
20.761,21.197,20.976,21.156,20.834,21.443,21.457,21.621
20.674,21.107,20.897,21.138,20.65,21.274,21.195,21.474
20.503,20.907,20.642,21.058,20.455,21.106,20.905,21.369
20.335,20.639,20.371,20.738,20.173,20.911,20.655,21.167
20.22,20.472,20.192,20.611,19.963,20.787,20.49,21.052
20.108,20.314,20.068,20.472,19.817,20.69,20.406,20.917
19.995,20.246,19.952,20.276,19.732,20.566,20.301,20.801
19.988,20.206,19.899,20.257,19.652,20.557,20.27,20.783
19.951,20.134,19.796,20.189,19.547,20.488,20.198,20.708
19.899,20.075,19.74,20.131,19.492,20.447,20.111,20.674
19.845,19.951,19.632,20.047,19.434,20.389,20.05,20.647
19.782,19.859,19.534,19.985,19.363,20.295,19.959,20.531
19.714,19.749,19.413,19.918,19.295,20.211,19.865,20.439
19.686,19.726,19.307,19.9,19.253,20.173,19.831,20.432
19.593,19.555,19.143,19.756,19.125,20.037,19.691,20.279
19.566,19.47,19.096,19.687,19.027,19.932,19.56,20.177
19.508,19.365,18.914,19.613,18.958,19.864,19.488,20.107
19.458,19.219,18.796,19.523,18.855,19.774,19.391,20.042
19.364,19.084,18.695,19.43,18.787,19.704,19.333,19.962
19.32,19.017,18.633,19.364,18.727,19.671,19.278,19.982
19.289,18.908,18.572,19.312,18.666,19.628,19.245,19.933
19.24,18.862,18.548,19.271,18.626,19.561,19.146,19.842
19.19,18.781,18.458,19.209,18.579,19.508,19.109,19.771
19.155,18.735,18.443,19.158,18.536,19.444,19.025,19.695
19.132,18.685,18.4,19.126,18.513,19.425,19.005,19.694
19.09,18.646,18.37,19.093,18.46,19.372,18.952,19.623
19.069,18.623,18.383,19.087,18.45,19.367,18.918,19.602
19.052,18.651,18.286,19.07,18.425,19.31,18.914,19.581
19.016,18.563,18.316,19.016,18.376,19.26,18.849,19.496
18.984,18.507,18.269,18.989,18.349,19.256,18.868,19.552
18.969,18.46,18.244,18.951,18.329,19.226,18.798,19.504
18.942,18.357,18.19,18.95,18.282,19.176,18.733,19.488
18.916,18.315,18.151,18.91,18.255,19.138,18.703,19.413
18.879,18.288,18.116,18.869,18.227,19.094,18.663,19.38
18.878,18.261,18.107,18.826,18.213,19.08,18.655,19.339
18.849,18.249,18.084,18.819,18.194,19.053,18.636,19.299
18.837,18.243,18.073,18.812,18.181,19.052,18.648,19.295
18.825,18.24,18.065,18.808,18.167,19.026,18.605,19.242
