0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,0.34136,,,0.3304,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.3718,,,
,0.40154,,,,,,,,,,,,,,,
,,,,,,,,,,,0.34068000000000004,,,,,
,,,0.3667,,,,,,,,,,,,,
,,,,,,0.3588,,,,,0.31384,,,,,
,,,,,,,,,0.33988,0.3523,,,,,,
,0.3437,0.36785,,,0.29606,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.25068,0.32135,,0.31301999999999996,0.253,,,,,,,0.26338,,,0.24705,,
,,0.34835,,,,,,,,0.31366,,0.27671,0.24616999999999997,,,0.27207
0.23864000000000002,,,,0.24541999999999997,,,,0.24845,,,,0.2778,,,,
,,,,,,,,,,,,,,,,
0.23025,0.30856999999999996,,,,,,,0.23517,0.28004,,,,,,,
,,0.32277,,,,,,,,,,0.26250999999999997,,,,
0.22341999999999998,,,0.27874,,,,,,,,,,,,,
0.21771,,,,,,,,,,,,,,,,
0.21703000000000003,,,,0.22871999999999998,,0.28564,,,,,,,,,,
,,0.30349,0.26255,0.22524,,,,,,,,,,,,
,,,,,,,,,,,,,,0.19353,,
,,,,,,,0.22113000000000002,,,,,,,0.18692,,
,,,,,0.22139,,0.21225,,,,,,,,,
,,,0.23199,,,0.25495,0.2062,,,,,,0.16798,,,0.20298
,,,,,,,,,,,,,,,,
,,,,,,,0.20035,,0.22221999999999997,,,,,,,
0.18261,,,,,0.20736999999999997,0.24411,,0.17604,0.22005,,,,0.15467999999999998,,,0.18997
0.17839000000000002,0.2363,,,,,,,,,,,0.19313,,,,
,,,,,,,,,,0.22454000000000002,,,,,,0.1808
,,,,,,,,0.17149,,,,,,,,
,,,,,,,,,,,,,,,0.12383,
,,,,,,,0.19155999999999998,0.16885,,0.21778000000000003,,,,,,0.17497000000000001
,,,,,,,,,,,,,0.1433,,,0.17363
,,,,,,,,,,0.21095999999999998,,,,,0.1207,
,,,,,,,,,,,0.15742,,0.13355,,,
,,0.23722,0.20092000000000002,,,0.22588000000000003,,,,,,,,,0.11659000000000001,
,,,,,,,,,,,,,,,,
,,0.24747,0.19907,,,0.21986999999999998,,,,,,,,,,
,,,,,,0.21799000000000002,,,,,,,,,,
,0.2232,,,,,,,,,,,,0.11812,,,
,,,,0.16913,,,,,,,,,,,0.10737000000000001,
,,,,,,,,,,,0.14262,,0.11762,,,
,,,,,,,,,,0.19100999999999999,,,,,,
,,,,,,,0.17300000000000001,,,,,,0.1176,,,
,,,,,,,,,,,,,,,,
,,,0.18796,,,,,,,,,,,,,
0.13625,,,,0.16514,0.17326,0.2072,,,,,,,,,,
,,,,,,,,,,,,,,,,
,0.19809000000000002,,,,,,,,,0.17593,,,,,,
,,,,,,,0.16382,,,,,,,,,
,,0.20928000000000002,,,,,,,,,,,,,,
,,,,,,,,0.13985999999999998,,,,,,,,
,,,,,0.15966,,,,,,,,,,,0.13129000000000002
,,,,,,,,,,,,,,,,
,,,,0.1489,,0.18800999999999998,,,,,,,,,,
,,,0.17072,,,,,,,,,,,,,
,,,,,,,,,,,0.11264,,,,,
,0.19187,,,,0.15043,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,0.14519,,,,,,,,,0.11487
,,,,,,,,,0.15159,,,0.10177,,,,
,,,,,,,,,,0.14184000000000002,,,,,,
,,,0.14026,,,,,,0.14399,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,0.12774000000000002,,,,,,,,,0.10161
,,0.15165,0.12646,,,0.15275999999999998,,,,,,,,,,
,,,0.12362999999999999,,,,,,0.12951,,,0.085263,,,,
,,,,,0.1179,,0.12103,,,,,,0.069547,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,0.11889000000000001,,,,,,,0.0884
,0.12455999999999999,,,,,,,,0.11788,,,,,0.062317,,
,0.12554,,,,,,,,,,,0.07403,,,,
,0.11903,,0.11287,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,0.10032999999999999,0.10176,,,,,,,,,,,
,,,,,,,0.10622000000000001,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0516,,,
0.066781,,0.11300999999999999,,,,,,,,0.091977,0.054852,,,,,
,,,,,,,,,,,,,,,,
