"date";"IDdevice";"tintMean";"tintSd";"timesOn";"tsetMean";"tsetSd"
"2016-01-04";322962844;24.0625;2.68945590722791;7;26;0
"2016-01-04";322962850;22.8854166666667;2.07374566890224;23;24;0
"2016-01-04";322962934;24.28125;3.06033086446547;6;24;0
"2016-01-04";322962954;24.8918918918919;3.36678039233482;16;26;0
"2016-01-04";322963006;23.8977272727273;3.28771417279994;15;25;0
"2016-01-04";322963016;24.8913043478261;2.90750018267462;4;27;0
"2016-01-04";322963020;25.0357142857143;2.92464894108189;21;24.0952380952381;0.995226703056239
"2016-01-04";322963022;24.5810810810811;2.39940245313956;6;23;0
"2016-01-04";322963038;25.3488372093023;2.69597337250374;23;26;0
"2016-01-04";322963040;24.8018867924528;3.18098258682861;12;27;0
"2016-01-04";322963106;25.5821917808219;2.68485166493594;11;26.9090909090909;1.86839746598765
"2016-01-04";322963110;26.7205882352941;2.89670728270058;14;23;0
"2016-01-04";322963122;26.75;2.69454326005015;36;27;0
"2016-01-04";322963148;24.3333333333333;3.10241841149771;21;22;0
"2016-01-04";322963166;24.0892857142857;2.53878642424614;14;25;0
"2016-01-04";322963174;23.6428571428571;2.30882823758889;14;25;0
"2016-01-04";322963208;23.7896551724138;2.50254659569038;15;24;0
"2016-01-04";322963242;24.9022988505747;3.17314226960251;52;28.8529411764706;0.359490627953571
"2016-01-04";322963256;25.3648648648649;2.91934654127661;20;24;0
"2016-01-04";322963264;24.6486486486486;2.52349199472951;20;24;0
"2016-01-05";322962844;24.7142857142857;2.95943267506489;7;26;0
"2016-01-05";322963012;26;2.81137798131915;15;28;0
"2016-01-05";322963020;24.9142857142857;3.04497105725092;20;25.1;0.307793505625546
"2016-01-05";322963038;25.6363636363636;2.98504796672287;20;26;0
"2016-01-05";322963122;25.5526315789474;3.33900676330755;28;27;0
"2016-01-05";322963208;23.830985915493;1.88300284925347;26;24;0
"2016-01-05";322963242;24.8377483443709;3.46051521639682;56;28.8392857142857;0.681623348786109
"2016-01-06";322963242;24.0164473684211;2.8946272239139;35;27.4857142857143;1.3144318515758
"2016-01-07";322962818;23.8541666666667;2.71512378412487;21;25;0
"2016-01-07";322962822;22.7926829268293;2.24436964913341;20;24;0
"2016-01-07";322962824;23.554347826087;2.80718969962164;20;25;0
"2016-01-07";322962830;24.4893617021277;2.81588923653158;21;27;0
"2016-01-07";322962836;22.8472222222222;2.34465789293889;13;24;0
"2016-01-07";322962838;24.046511627907;3.08570813337642;8;25;0
"2016-01-07";322962844;25.5328947368421;2.570778774763;41;26;0
"2016-01-07";322962846;24.9861111111111;2.37352210833353;17;25;0
"2016-01-07";322962848;25.9027777777778;2.63994089894485;31;25.0645161290323;0.35921060405355
"2016-01-07";322962850;25.6486486486486;2.6193820898058;23;24;0
"2016-01-07";322962852;25.7777777777778;2.65622957508487;23;24;0
"2016-01-07";322962854;25.7323943661972;2.56185059494596;21;29;0
"2016-01-07";322962858;25.5763888888889;2.37008902522256;31;25.0645161290323;0.35921060405355
"2016-01-07";322962862;25.0277777777778;3.31862391197971;11;25;0
"2016-01-07";322962864;25.1478873239437;2.97056315752367;27;23;0
"2016-01-07";322962892;24.6792452830189;2.69453567361272;31;24;0
"2016-01-07";322962894;24.5909090909091;2.73030134866931;31;24;0
"2016-01-07";322962898;25.3125;3.03549082447214;21;25;0
"2016-01-07";322962922;26.0227272727273;3.21107676426678;16;24;0
"2016-01-07";322962926;24.2857142857143;2.66577365999989;37;24;0
"2016-01-07";322962930;27.172619047619;2.32650268529676;23;25;0
"2016-01-07";322962932;26.0210526315789;3.14618630120362;28;27;0
"2016-01-07";322962934;24.879746835443;2.3317969161492;5;24;0
"2016-01-07";322962938;26.1619047619048;3.09115925952798;35;27;0
"2016-01-07";322962940;26.0670731707317;2.50648811805242;19;22;0
"2016-01-07";322962944;27.2405063291139;2.23730143008536;27;26;0
"2016-01-07";322962946;26.9207317073171;2.3260063694741;31;26;0
"2016-01-07";322962954;26.1549295774648;2.89900420008538;24;23.5;1.14208048144032
"2016-01-07";322962956;26.4714285714286;2.56775675273201;14;25;0
"2016-01-07";322962958;27.0572916666667;2.23944282504972;36;25.0833333333333;1.40152977645347
"2016-01-07";322962960;27.0642857142857;2.55365811577367;14;23;0
"2016-01-07";322962964;27.2123287671233;2.47054566653016;38;25;0
"2016-01-07";322962968;26.0070422535211;2.73272882684072;36;25;0.925820099772551
"2016-01-07";322962970;25.9894736842105;2.92820014736416;51;25;0
"2016-01-07";322962972;26.6739130434783;2.41293403129596;14;25;0
"2016-01-07";322962982;24.741935483871;3.04192882819313;15;28.8;0.414039335605413
"2016-01-07";322962986;24.9067796610169;2.83067339416026;19;25;0
"2016-01-07";322962988;25.5555555555556;3.11617930753391;8;28;0
"2016-01-07";322962990;24.8;3.23135678418009;23;26;0
"2016-01-07";322962992;24.8770491803279;2.75477727125219;26;24.2692307692308;0.452344320861205
"2016-01-07";322962994;24.7435897435897;3.19470299184873;30;25.4666666666667;0.819307248726686
"2016-01-07";322963006;25.9010989010989;3.21646785242219;19;24.6315789473684;0.597264720370147
"2016-01-07";322963008;26.7279411764706;2.63222541271712;11;26;0
"2016-01-07";322963010;27.1351351351351;2.64484157706841;18;27.5;1.54348726628258
"2016-01-07";322963012;26.4857142857143;2.80006654756766;14;28;0
"2016-01-07";322963014;26.5144927536232;2.48076573581145;17;25;0
"2016-01-07";322963016;26.5738636363636;3.07617819006853;55;28.7454545454545;0.672699972146017
"2016-01-07";322963018;25.3538461538462;2.30441674582996;23;25.2608695652174;0.44897775854488
