18.301,17.865,18.332,17.506,17.827,17.786,16.228,15.684,15.431
18.38,17.953,18.194,17.573,17.821,17.739,16.276,15.664,15.415
18.25,17.834,17.947,17.476,17.614,17.594,16.245,15.651,15.403
18.155,17.733,17.833,17.414,17.552,17.546,16.219,15.65,15.406
18.139,17.731,17.814,17.409,17.556,17.54,16.224,15.66,15.413
18.134,17.729,17.794,17.403,17.545,17.521,16.248,15.653,15.412
18.153,17.759,17.813,17.435,17.57,17.521,16.255,15.618,15.383
18.193,17.813,17.825,17.474,17.627,17.535,16.288,15.579,15.361
18.298,17.909,17.892,17.587,17.75,17.617,16.416,15.563,15.373
18.446,18.05,18.017,17.729,17.918,17.742,16.584,15.509,15.392
18.583,18.184,18.119,17.864,18.054,17.894,16.775,15.488,15.403
18.791,18.436,18.383,18.053,18.445,18.278,16.982,15.531,15.484
19.191,18.954,19.014,18.527,18.935,18.79,17.247,15.576,15.548
19.463,18.976,18.836,18.58,18.831,18.664,17.388,15.655,15.657
19.721,19.111,18.987,18.69,18.851,18.651,17.46,15.844,15.811
19.914,19.255,19.172,18.895,19.005,18.763,17.588,16.089,16.064
20.04,19.39,19.335,19.054,19.172,18.877,17.625,16.264,16.228
20.083,19.472,19.442,19.156,19.238,18.951,17.7,16.389,16.37
19.976,19.405,19.402,19.158,19.244,18.933,17.774,16.505,16.517
19.819,19.355,19.334,19.15,19.28,18.96,17.925,16.627,16.696
19.898,19.426,19.387,19.234,19.379,19.06,17.981,16.72,16.849
20.119,19.578,19.539,19.384,19.506,19.201,17.971,16.848,16.998
20.315,19.725,19.703,19.526,19.676,19.333,18.11,16.989,17.192
20.484,19.861,19.831,19.668,19.805,19.428,18.269,17.14,17.336
20.61,19.964,19.949,19.771,19.956,19.517,18.479,17.256,17.453
20.748,20.022,20.048,19.919,20.045,19.603,18.633,17.382,17.608
20.806,20.101,20.142,19.976,20.127,19.673,18.733,17.388,17.643
20.808,20.14,20.169,20.01,20.155,19.694,18.748,17.349,17.621
20.895,20.188,20.227,20.081,20.234,19.769,18.775,17.431,17.724
20.926,20.273,20.286,20.182,20.349,19.869,18.889,17.676,17.915
20.923,20.32,20.312,20.267,20.426,19.937,18.929,17.778,18.041
20.931,20.331,20.333,20.339,20.5,19.959,19.012,17.848,18.165
21.079,20.411,20.441,20.431,20.591,20.004,18.992,18.087,18.305
21.091,20.451,20.491,20.479,20.635,20.046,19.134,18.171,18.421
21.009,20.434,20.458,20.468,20.638,20.065,19.156,18.264,18.515
20.97,20.43,20.461,20.486,20.662,20.1,19.273,18.352,18.589
20.94,20.442,20.448,20.487,20.674,20.153,19.298,18.497,18.708
20.914,20.441,20.456,20.535,20.725,20.183,19.326,18.603,18.834
21.052,20.506,20.551,20.636,20.789,20.23,19.399,18.678,18.939
21.148,20.564,20.628,20.676,20.821,20.249,19.415,18.819,18.954
21.248,20.612,20.713,20.766,20.888,20.301,19.486,18.95,19.058
21.293,20.682,20.766,20.788,20.893,20.351,19.612,19.047,19.135
21.352,20.749,20.823,20.853,20.979,20.422,19.715,19.14,19.236
21.454,20.787,20.891,20.881,20.986,20.46,19.855,19.253,19.266
21.379,20.761,20.855,20.778,20.847,20.402,19.846,19.349,19.249
21.13,20.694,20.732,20.662,20.694,20.353,19.896,19.275,19.194
21.055,20.646,20.658,20.647,20.728,20.349,19.91,19.211,19.196
21.252,20.771,20.788,20.808,20.928,20.443,20.131,19.352,19.375
21.362,20.824,20.869,20.774,20.862,20.474,20.088,19.518,19.373
21.195,20.775,20.766,20.682,20.718,20.423,20.089,19.474,19.323
21.04,20.666,20.673,20.575,20.6,20.385,20.081,19.404,19.239
20.951,20.547,20.566,20.471,20.51,20.287,20,19.34,19.199
20.874,20.463,20.48,20.378,20.424,20.203,20.032,19.239,19.098
20.779,20.344,20.404,20.287,20.36,20.135,19.992,19.297,19.134
20.666,20.218,20.298,20.165,20.246,20.008,19.845,19.26,19.079
20.587,20.155,20.22,20.081,20.166,19.946,19.786,19.157,18.98
20.515,20.096,20.154,20.002,20.076,19.89,19.619,19.06,18.919
20.435,20.027,20.079,19.929,19.994,19.835,19.431,18.945,18.774
20.42,19.996,20.031,19.854,19.939,19.771,19.492,18.895,18.69
20.34,19.968,19.986,19.788,19.881,19.736,19.689,18.769,18.599
20.299,19.933,19.963,19.756,19.841,19.704,19.467,18.654,18.482
20.246,19.881,19.911,19.711,19.788,19.654,19.322,18.644,18.456
20.231,19.846,19.873,19.654,19.744,19.64,19.266,18.568,18.382
20.176,19.807,19.83,19.602,19.69,19.552,19.209,18.521,18.316
20.156,19.788,19.821,19.563,19.664,19.579,19.166,18.431,18.244
20.11,19.733,19.773,19.503,19.584,19.521,19.131,18.36,18.161
20.078,19.695,19.746,19.453,19.555,19.522,19.08,18.329,18.096
20.029,19.64,19.679,19.38,19.485,19.445,19.033,18.304,18.061
19.988,19.587,19.628,19.314,19.415,19.418,18.968,18.266,18.009
19.945,19.52,19.548,19.236,19.328,19.323,18.796,18.22,17.947
19.887,19.49,19.528,19.182,19.297,19.274,18.7,18.191,17.917
19.858,19.425,19.488,19.149,19.245,19.232,18.636,18.107,17.854
19.816,19.396,19.444,19.12,19.236,19.219,18.561,18.046,17.783
19.777,19.36,19.4,19.08,19.201,19.157,18.563,18.024,17.755
19.737,19.331,19.365,19.04,19.146,19.075,18.525,17.951,17.708
19.719,19.289,19.328,19.008,19.113,19.038,18.447,17.921,17.67
19.689,19.276,19.316,18.972,19.095,19.021,18.453,17.893,17.619
19.691,19.253,19.299,18.972,19.093,19.022,18.484,17.816,17.574
19.658,19.233,19.286,18.945,19.07,18.982,18.496,17.8,17.539
19.626,19.204,19.239,18.918,19.019,18.952,18.416,17.746,17.5
19.589,19.159,19.203,18.882,18.978,18.943,18.421,17.696,17.453
19.578,19.139,19.185,18.862,18.952,18.913,18.384,17.667,17.423
19.543,19.073,19.139,18.822,18.917,18.886,18.369,17.607,17.383
19.502,19.043,19.111,18.794,18.906,18.847,18.343,17.564,17.333
19.478,19.015,19.09,18.749,18.855,18.834,18.333,17.535,17.309
19.468,19.005,19.097,18.749,18.856,18.784,18.286,17.516,17.278
19.461,19.007,19.071,18.732,18.837,18.781,18.258,17.502,17.262
19.45,19.009,19.072,18.736,18.848,18.825,18.275,17.496,17.259
19.426,18.982,19.05,18.717,18.835,18.795,18.244,17.47,17.236
19.495,18.971,19.037,18.711,18.83,18.782,18.217,17.427,17.196
19.41,18.951,18.995,18.678,18.796,18.739,18.204,17.369,17.158
19.393,18.941,18.984,18.658,18.78,18.733,18.175,17.321,17.113
19.345,18.923,18.958,18.628,18.748,18.687,18.148,17.249,17.067
19.337,18.905,18.955,18.629,18.754,18.725,18.149,17.227,17.036
19.337,18.88,18.938,18.613,18.729,18.681,18.181,17.176,17.015
