3_1,4_1,4_2,5_1,5--3,6--1,6--2,6--5,7--2,8--7,8--8,9--8,10--1,10--8,11--4,11--6,11--8,11--11,12--2,12--3,12--4,13--6,13--12,13--13,14--8,14--9,14--11,14--14,15--5,15--12,16--2,16--5,16--8,16--14,17--6,17--10,17--17,18--2,18--18,19--9,19--10,,16--2,16--5,16--8,16--14,17--6,17--10,17--17,18--2,18--18,19--9,19--10
,-1451.403097,-1995.650452,,-1439.839839,-3542.076032,-5957.600554,,-1038.021828,-3082.391471,-2212.979555,-3609.439865,-3514.723119,-4029.624309,-3736.888882,-3524.262759,-2003.571024,-825.1755368,-3104.774621,-3390.935025,-1387.554912,-8025.194438,-3427.553125,-4090.851771,-845.9335577,-7875.742958,-814.9929397,-2079.242738,-3045.373817,-397.2011612,-2919.073807,-400.6322788,-4041.523795,-4082.479473,-2268.383898,-2400.783548,-346.2488594,-6253.839338,-418.6528614,-4102.486704,-839.6395724,,-2919.073807,-400.6322788,-4041.523795,-4082.479473,-2268.383898,-2400.783548,-346.2488594,-6253.839338,-418.6528614,-4102.486704,-839.6395724
,-1255.789855,-1760.085733,,-1371.772476,-3413.887134,-5741.276116,,-1032.640839,-2967.430352,-2179.784389,-3423.093882,-3336.515189,-3928.020954,-3626.592189,-3208.267544,-1883.417711,-806.0097418,-2984.161871,-3269.958995,-1343.967613,-7824.896438,-3287.440424,-3947.584589,-823.1929696,-7758.095152,-810.522658,-1969.298783,-2932.001601,-396.5554578,-2880.232515,-388.8386673,-3967.97339,-4065.813078,-2073.632465,-2270.551411,-333.662299,-6063.3579,-409.8847488,-3958.146482,-829.0766986,,-2880.232515,-388.8386673,-3967.97339,-4065.813078,-2073.632465,-2270.551411,-333.662299,-6063.3579,-409.8847488,-3958.146482,-829.0766986
,-1202.834965,-1547.058054,,-1338.869859,-3308.438071,-5623.936111,,-1024.870883,-2862.796224,-2093.394099,-3333.106838,-3150.960494,-3849.493928,-3500.383831,-3095.916671,-1802.169912,-800.7432287,-2878.765659,-3162.994706,-1328.590043,-7696.210328,-3215.721376,-3875.584207,-804.7135134,-7657.080811,-783.649703,-1871.55318,-2878.67268,-368.5720209,-2786.6395,-377.0909536,-3873.604427,-3972.537964,-2003.394517,-2202.372416,-326.4132448,-5891.850891,-387.0839049,-3887.606868,-817.0182987,,-2786.6395,-377.0909536,-3873.604427,-3972.537964,-2003.394517,-2202.372416,-326.4132448,-5891.850891,-387.0839049,-3887.606868,-817.0182987
,-985.0550014,-1523.066546,,-1310.820884,-3284.373162,-5542.361319,,-1021.953308,-2797.467487,-2083.693156,-3103.112995,-3056.353318,-3776.822286,-3366.54585,-3018.699536,-1754.653952,-766.5702342,-2768.316255,-3088.485219,-1290.413653,-7614.166608,-3083.421033,-3794.857254,-780.5237012,-7558.599009,-778.1618042,-1802.431444,-2724.695487,-357.5433823,-2727.481375,-366.9631446,-3798.84506,-3955.901762,-1818.098579,-2187.657085,-317.2301756,-5737.894041,-374.69118,-3818.979347,-802.6388108,,-2727.481375,-366.9631446,-3798.84506,-3955.901762,-1818.098579,-2187.657085,-317.2301756,-5737.894041,-374.69118,-3818.979347,-802.6388108
,-917.506384,-1443.992892,,-1290.86627,-3139.600277,-5386.162567,,-1020.683502,-2685.594508,-1932.199182,-2998.227793,-2954.728699,-3665.928938,-3310.617392,-2904.895129,-1647.014419,-750.4680437,-2687.838572,-2978.254983,-1277.105401,-7429.936484,-3012.673182,-3702.35107,-762.8262044,-7453.81151,-748.8293714,-1701.793432,-2649.507044,-338.6953537,-2682.607379,-361.1617,-3744.609196,-3797.742175,-1739.832058,-2064.721985,-312.4011561,-5627.343229,-372.6470054,-3775.363332,-786.7759837,,-2682.607379,-361.1617,-3744.609196,-3797.742175,-1739.832058,-2064.721985,-312.4011561,-5627.343229,-372.6470054,-3775.363332,-786.7759837
,-772.125957,-1121.554226,,-1275.314001,-3090.949971,-5282.301014,,-1018.736909,-2621.312017,-1874.264067,-2767.716532,-2720.394209,-3605.467704,-3143.201938,-2834.073687,-1582.649655,-739.5936813,-2570.782517,-2908.166314,-1267.298502,-7311.264651,-2937.79163,-3618.159181,-744.2320131,-7361.134867,-740.1262452,-1636.450678,-2495.916467,-329.8567652,-2606.849796,-356.6508733,-3647.29203,-3732.002557,-1662.289816,-2007.246242,-307.9522964,-5444.008949,-350.3896247,-3689.231439,-783.7375882,,-2606.849796,-356.6508733,-3647.29203,-3732.002557,-1662.289816,-2007.246242,-307.9522964,-5444.008949,-350.3896247,-3689.231439,-783.7375882
,-723.6002575,-1047.613383,,-1265.665199,-2931.403569,-5184.457198,,-1018.054285,-2522.708088,-1832.955421,-2655.425925,-2630.930715,-3536.303697,-3086.501709,-2765.789426,-1547.133097,-719.3118442,-2491.524693,-2893.310078,-1263.99726,-7219.449915,-2861.104364,-3548.459614,-728.8418834,-7263.589356,-733.9599049,-1619.430891,-2415.616704,-320.3233624,-2553.389177,-352.2638741,-3580.107467,-3674.210044,-1589.497639,-1994.60986,-304.2528609,-5321.634865,-340.7336009,-3638.465939,-756.6711817,,-2553.389177,-352.2638741,-3580.107467,-3674.210044,-1589.497639,-1994.60986,-304.2528609,-5321.634865,-340.7336009,-3638.465939,-756.6711817
,-681.7550196,-982.219326,,-1263.231005,-2866.512781,-5171.749023,,-1017.690309,-2467.047494,-1773.236002,-2541.62296,-2538.070032,-3455.504334,-3022.364465,-2718.255615,-1458.231338,-706.3428009,-2405.929123,-2779.189279,-1255.417653,-7070.556358,-2837.367234,-3512.486992,-711.6138232,-7214.183481,-732.3432368,-1514.900815,-2330.208398,-309.8672379,-2502.633264,-349.2460368,-3532.922343,-3656.801422,-1527.219874,-1890.29078,-301.6921011,-5278.390695,-340.2042648,-3547.917396,-748.0172841,,-2502.633264,-349.2460368,-3532.922343,-3656.801422,-1527.219874,-1890.29078,-301.6921011,-5278.390695,-340.2042648,-3547.917396,-748.0172841
,-648.2669002,-923.8895514,,-1252.755933,-2805.684642,-5043.326072,,-1017.31676,-2409.060242,-1734.398165,-2434.169708,-2439.875359,-3370.615657,-2948.45546,-2658.948397,-1407.914093,-694.0195576,-2322.142621,-2731.898467,-1252.92664,-6964.165359,-2797.694219,-3404.12241,-699.6825426,-7114.228594,-725.4214615,-1469.630141,-2242.407945,-300.4189037,-2498.563755,-346.4836502,-3443.3568,-3568.360817,-1473.86062,-1843.394799,-299.7239011,-5078.896307,-321.114955,-3493.606154,-738.0593424,,-2498.563755,-346.4836502,-3443.3568,-3568.360817,-1473.86062,-1843.394799,-299.7239011,-5078.896307,-321.114955,-3493.606154,-738.0593424
,-624.3860905,-911.1078185,,-1249.244637,-2756.975944,-5038.766725,,-1017.156213,-2351.078823,-1694.693314,-2340.508071,-2366.789127,-3310.417462,-2865.943463,-2624.241568,-1373.514665,-689.6141411,-2247.538277,-2656.313429,-1246.480185,-6862.725352,-2670.766036,-3341.396733,-682.0666997,-7100.359178,-723.0861066,-1401.789743,-2223.243665,-293.2808333,-2432.453321,-344.7031126,-3382.711172,-3531.710774,-1430.174872,-1820.622354,-298.4584444,-4977.329193,-313.2939836,-3433.406133,-726.0417447,,-2432.453321,-344.7031126,-3382.711172,-3531.710774,-1430.174872,-1820.622354,-298.4584444,-4977.329193,-313.2939836,-3433.406133,-726.0417447
,-606.8778453,-875.4615535,,-1243.222711,-2700.592092,-4798.993491,,-1017.051371,-2327.640134,-1660.875192,-2259.908273,-2302.073174,-3257.082712,-2785.736321,-2568.509858,-1313.36431,-674.9440038,-2181.194935,-2620.168017,-1244.514345,-6851.753478,-2628.746156,-3293.325058,-670.6140172,-6907.464273,-717.7931673,-1367.738985,-2177.343268,-288.8457946,-2335.128173,-342.7691696,-3333.892067,-3427.900906,-1379.930767,-1752.137363,-296.8630481,-4968.802747,-311.2641213,-3368.646877,-711.9123752,,-2335.128173,-342.7691696,-3333.892067,-3427.900906,-1379.930767,-1752.137363,-296.8630481,-4968.802747,-311.2641213,-3368.646877,-711.9123752
,-594.5584956,-803.7585975,,-1241.187343,-2659.988265,-4709.306565,,,-2296.421122,-1626.622786,-2197.581687,-2286.392941,-3191.550952,-2742.564526,-2537.73787,-1274.892878,-671.0182359,-2137.438049,-2582.169783,-1242.973789,-6722.381976,-2586.195254,-3216.501887,-658.3830671,-6823.885649,-715.9371262,-1331.453673,-2011.135004,-279.5633483,-2300.147562,-341.7915364,-3260.977908,-3377.399562,-1342.724225,-1715.078582,-295.9468944,-4764.930978,-297.7097817,-3346.754938,-699.1131012,,-2300.147562,-341.7915364,-3260.977908,-3377.399562,-1342.724225,-1715.078582,-295.9468944,-4764.930978,-297.7097817,-3346.754938,-699.1131012
,-582.2489275,-784.8721795,,-1239.43016,-2641.475465,-4639.629608,,,-2218.181846,-1601.217279,-2115.418672,-2176.797026,-3139.334654,-2735.295778,-2507.330025,-1241.903477,-649.2601588,-2056.762612,-2542.186797,-1241.988824,-6532.767451,-2541.958703,-3162.372323,-646.4203465,-6760.014268,-714.3250253,-1292.680546,-1957.431279,-273.9367426,-2259.598886,-340.0315993,-3207.376339,-3324.337197,-1314.852894,-1686.925848,-295.5909391,-4677.615189,-291.4880152,-3310.297007,-691.9471668,,-2259.598886,-340.0315993,-3207.376339,-3324.337197,-1314.852894,-1686.925848,-295.5909391,-4677.615189,-291.4880152,-3310.297007,-691.9471668
