3_1,4_1,4_2,5_1,5--3,6--1,6--2,6--5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unnamed: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19755,386622,322575,23070,198702,217551,231855,40512,70848,149841,106920,175869,155328,161406,143922,124590,78495,23136,112581,217551,83895,238854,107892,161406,23136,index,Data,46980,105516,112581,10023,90948,17238,161406,107538,105516,78756,15360,203796,10023,107538,18762
-562.4590784,-18160.689,-15140.29343,-881.6546883,-5373.773127,-6110.879535,-7418.315029,-1013.313117,-3496.785985,-6022.548665,-3294.135661,-11513.36208,-9145.720735,-4983.278011,-6196.182416,-5309.703729,-3378.313886,-1349.782538,-7958.850693,-6219.012504,-3254.412981,-10083.49543,-5143.410132,-5020.067598,-1239.756793,1,-9294.682563,-2383.910199,-4996.360265,-8875.83947,-422.238872,-3613.593271,-936.0518104,-4987.007136,-4942.875198,-4837.433412,-3606.075828,-723.7982375,-8386.821361,-410.0448605,-4879.532518,-1037.313146
-354.5067553,-8320.617442,-6697.067967,-603.097163,-4697.698095,-5743.746374,-7111.029416,-747.4870801,-1934.908783,-5568.918405,-3100.123186,-6008.48722,-5700.063739,-4879.347061,-6156.842022,-4962.576021,-3104.790525,-1075.068284,-4394.093103,-5717.447283,-2802.60349,-9557.368778,-4846.34085,-4918.56856,-1211.562639,2,-8946.772535,-1564.763747,-4566.184144,-4402.868887,-370.5081269,-3537.089117,-934.6047989,-4861.504298,-4739.435363,-4358.259094,-3338.846088,-645.8446559,-8043.738801,-347.3559226,-4713.581486,-983.0109257
-248.3032715,-6947.19815,-5915.257028,-462.070408,-3981.997447,-4958.298068,-6978.679174,-559.5864816,-1591.585112,-4413.587844,-2967.03731,-5516.371471,-5412.459764,-4781.691198,-4844.308667,-4702.410315,-3005.440257,-1054.602114,-4071.522117,-5045.703448,-2582.327828,-9538.989537,-4396.934844,-4819.79812,-1048.714095,3,-8901.61614,-1343.882456,-3547.921423,-4092.738843,-326.6157903,-3468.803826,-607.858751,-4764.260645,-4655.057267,-3520.062254,-3293.50269,-625.8096657,-7801.233842,-303.3071117,-4624.199841,-974.0870932
-212.6879243,-5732.540758,-5202.351373,-397.6901211,-3250.842632,-4767.068218,-6724.29765,-460.5509572,-1382.956474,-4232.086965,-2867.016439,-5201.583797,-5135.156914,-4666.255601,-4649.709623,-4467.618836,-2700.014882,-1030.359588,-3917.954564,-4852.069608,-2104.808121,-8892.849871,-4277.291076,-4702.422633,-1017.695248,4,-8511.549866,-1206.768897,-3369.561728,-3927.480608,-282.9069979,-3387.570562,-563.1698752,-4653.92708,-4636.919352,-3345.470658,-2948.499024,-510.013018,-7544.967251,-261.7497767,-4556.858131,-927.4623866
-203.9192337,-4515.928435,-4435.086705,-377.7950943,-2572.28264,-4559.132056,-6595.490234,-425.9180651,-1249.860397,-4038.500727,-2706.255242,-4897.679629,-4816.908822,-4532.78471,-4483.892647,-4213.999045,-2566.429706,-1001.132702,-3823.320829,-4630.822087,-1887.672854,-8718.552435,-4139.59589,-4565.508553,-987.4009125,5,-8390.337413,-1155.781288,-3176.708134,-3778.70957,-243.6550953,-3291.519835,-524.4738035,-4537.270222,-4470.211452,-3149.707339,-2830.816131,-464.9924125,-7341.488184,-226.8530504,-4442.052132,-913.6103809
-202.6994365,-3400.901378,-3647.820184,-374.4186969,-2028.855364,-4321.490311,-6450.817138,-420.9592221,-1158.836703,-3817.451618,-2595.813914,-4762.488178,-4462.142086,-4417.831426,-4323.407279,-4012.168636,-2432.459003,-966.2411953,-3607.625571,-4374.81216,-1734.557261,-8564.222793,-3976.932555,-4438.490785,-954.3729167,6,-8273.445006,-1012.742134,-2955.48452,-3760.023714,-213.1301673,-3193.483158,-488.5614675,-4526.316528,-4389.939501,-2923.827742,-2723.686692,-436.0076046,-7082.820151,-201.9937437,-4361.482765,-899.553538
,-3037.460343,-3082.884056,-374.2279471,-1988.324851,-4066.857867,-6284.919997,-417.8341592,-1106.839276,-3579.669485,-2501.097233,-4412.843445,-4168.351673,-4335.449738,-4317.121709,-3815.057915,-2308.663569,-925.3995508,-3474.148413,-4087.455197,-1589.009996,-8443.539608,-3789.655888,-4350.932944,-930.0823292,7,-8164.228384,-949.88859,-2715.54446,-3542.329922,-193.426161,-3125.074691,-478.4323901,-4494.545547,-4337.820748,-2672.593565,-2642.325969,-399.294203,-6909.470024,-187.7734476,-4279.55191,-884.5120253
,-2975.893027,-2780.676258,,-1594.636159,-3914.009623,-6138.120816,-417.5928862,-1079.541534,-3417.601139,-2386.887422,-4309.466053,-3984.302508,-4199.764084,-4158.615748,-3725.769301,-2184.78562,-880.4533105,-3353.26286,-3791.323326,-1501.629165,-8253.130963,-3594.925152,-4348.840958,-901.9550404,8,-8037.964387,-862.8932657,-2540.801932,-3504.92872,-183.7609378,-3083.721982,-455.7070797,-4216.392215,-4224.784324,-2429.143203,-2522.118418,-378.4935795,-6627.874223,-181.6576794,-4236.942278,-878.4273677
