0,1,2,3,4,5
4,1,0.461799977255,,,
4,2,0.362801368291,100.0,-inf,-inf
4,1,0.461799977255,,,
4,2,0.362801368291,100.0,-inf,-inf
4,1,0.461799977255,,,
4,2,0.362801368291,100.0,-inf,-inf
4,1,0.461799977255,,,
4,2,0.362801368291,100.0,-inf,-inf
5,1,0.488575048253,,,
5,2,0.433323797633,,,
5,3,0.357923959558,,,
5,1,0.488575048253,,,
5,2,0.433323797633,,,
5,3,0.357923959558,,,
5,1,0.488575048253,,,
5,2,0.433323797633,,,
5,3,0.357923959558,,,
5,1,0.488575048253,,,
5,2,0.433323797633,,,
5,3,0.357923959558,,,
5,1,0.488575048253,,,
5,2,0.433323797633,,,
5,3,0.357923959558,,,
6,1,0.276825647777,,,
6,2,0.476352721788,,,
6,5,0.484576870162,,,
6,6,0.528747919165,,,
6,1,0.276825647777,,,
6,2,0.476352721788,,,
6,5,0.484576870162,,,
6,6,0.528747919165,,,
6,1,0.276825647777,,,
6,2,0.476352721788,,,
6,5,0.484576870162,,,
6,6,0.528747919165,,,
6,1,0.276825647777,,,
6,2,0.476352721788,,,
6,5,0.484576870162,,,
6,6,0.528747919165,,,
6,1,0.276825647777,,,
6,2,0.476352721788,,,
6,5,0.484576870162,,,
6,6,0.528747919165,,,
6,1,0.276825647777,,,
6,2,0.476352721788,,,
6,5,0.484576870162,,,
6,6,0.528747919165,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
7,1,0.490644856255,,,
7,2,0.500138778245,,,
7,3,0.481119737085,,,
7,6,0.360683899363,,,
7,7,0.446312724277,,,
8,1,0.527624035248,100.0,-inf,-inf
8,2,0.529217532092,88.1037037037,-inf,-inf
8,3,0.604272134567,,,
8,4,0.365903494429,,,
8,7,0.544927663328,,,
8,8,0.48067784372,,,
8,1,0.527624035248,100.0,-inf,-inf
8,2,0.529217532092,88.1037037037,-inf,-inf
8,3,0.604272134567,,,
8,4,0.365903494429,,,
8,7,0.544927663328,,,
8,8,0.48067784372,,,
