,,RMSE,Max %,Min %,Avg %,,,,,RMSE,Max %,,Min %,Avg %
17,6,0.548745181,,,,,,,,,,,,
17,7,0.457902168,6107.212544,0.113018295,297.748408,,,,,,,,,
17,8,0.523235189,120350,0,2024.064781,,,,,,,,,
17,9,0.364335744,,,,,,,,,,,,
17,10,0.381835528,inf,0,inf,,,,,,,,,
17,11,0.350796284,12364.36788,0,269.4292463,,,,,,,,,
17,12,0.292092386,,,,,,,,,,,,
17,13,0.301545305,2980.271833,0.00368529,83.20956045,,,,,,,,,
17,14,0.374354992,10385.74379,0.002522386,449.8022347,,,,,,,,,
17,15,0.39975848,34427.86939,0,617.0531313,,,,,,,,,
17,16,0.267694426,4427.89966,0.025165563,121.1743214,,,,,,,,,
17,17,0.392395771,,,,,,,,,,,,
18,1,0.36205076,4569.921603,0.361150936,333.9407191,,,,,,,,,
18,2,0.550088779,,,,,,,,,,,,
18,3,0.428917453,30657.02624,0,359.242939,,,,,,,,,
18,4,0.35160668,5884.635169,0,78.39681855,,,,,,,,,
18,5,0.320194286,30122,0.064420072,412.889687,,,,,,,,,
18,6,0.402976709,377859.6392,0.025116315,31621.26148,,,,,,,,,
18,8,0.418915362,40280.2298,0.025165563,377.4537881,,,,,,,,,
18,9,0.327763211,527.546753,0.016411894,30.54373583,,,,,,,,,
18,10,0.397101014,137625.1895,0,846.2022456,,,,,,,,,
18,11,0.376837141,4155.670268,0.052846192,323.3274164,,,,,,,,,
18,12,0.459466856,23990,0,1982.96727,,,,,,,,,
18,13,0.351532189,,,,,,,,,,,,
18,14,0.578923882,,,,,,,,,,,,
18,15,0.322757063,,,,,,,,,,,,
18,16,0.274436788,6887.188047,0,217.5239047,,,,,,,,,
18,17,0.439357059,5430.679839,0.37037037,169.3832843,,,,,,,,,
18,18,0.372448629,,,,,,,,,,,,
19,1,0.255461479,4388.476377,0,108.1029661,,,,,,,,,
19,2,0.352438481,280880,0,1758.968552,,,,,,,,,
19,3,0.463527651,119914.5408,0.039064649,1491.714541,,,,,,,,,
19,4,0.278461367,1614.584742,0.180679088,178.974408,,,,,,,,,
19,5,0.319462613,3297.5,0,128.0089011,,,,,,,,,
19,6,0.558077079,,,,,,,,,,,,
19,7,0.359748214,5971.026117,0.052846192,321.9259073,,,,,,,,,
19,8,0.289723308,16403.49706,0.074888905,291.768275,,,,,,,,,
19,9,0.422686737,377859.6392,0,8069.510542,,,,,,,,,
19,10,0.481154561,inf,0,inf,,,,,,,,,
19,11,0.326799084,10260.91351,0.002522386,461.0703134,,,,,,,,,
19,12,0.531685091,38851.85306,0,544.7119833,,,,,,,,,
19,14,0.50986305,inf,0.048467815,inf,,,,,,,,,
19,15,0.474050872,196099.2653,0.112841704,4107.519666,,,,,,,,,
19,16,0.233586575,30122,0.110091743,849.3070104,,,,,,,,,
19,17,0.381927196,19154.52653,0,155.7854217,,,,,,,,,
19,18,0.531061566,inf,0,inf,,,,,,,,,
19,19,0.49086209,,,,,,,,,,,,
20,2,0.356325304,10019.96203,0.002522386,407.5359806,,,,,,,,,
20,3,0.441948766,14346.9601,0.001926718,401.066251,,,,,,,,,
20,4,0.27770177,1388.008316,0,92.47849104,,,,,,,,,
20,5,0.469777389,377859.6392,0.025116315,56445.96153,,,,,,,,,
20,6,0.523774423,106966.6667,0,1104.882787,,,,,,,,,
20,7,0.279227209,306.6809873,0,47.56304978,,,,,,,,,
20,8,0.429917374,19825.50546,0,473.3847038,,,,,,,,,
20,9,0.257753808,1443.846154,0.09906995,106.589503,,,,,,,,,
20,10,0.50006681,,,,,,,,,,,,
20,11,0.376713883,,,,,,,,,,,,
20,12,0.437345273,5959.421769,0.113018295,224.1812537,,,,,,,,,
20,13,0.534973898,244159.0816,0.025998184,2882.079207,,,,,,,,,
20,14,0.317152908,,,,,,,,,,,,
20,15,0.349276708,17159.04155,0,258.9170234,,,,,,,,,
20,16,0.315505098,inf,0.436867081,inf,,,,,,,,,
20,17,0.448441518,23990,0,1591.370706,,,,,,,,,
20,19,0.666925675,1601.694915,0.081243354,414.7243738,,,,,,,,,
20,20,0.337053235,11560.44301,0.021837579,172.3942636,,,,,,,,,
